Date,Approval,GDP,Borrowing
2020-04-06,50,74.9,49207
2020-04-20,47,74.9,49207
2020-05-03,49,77,52291
2020-05-18,39,77,52291
2020-06-02,35,84.5,31997
2020-06-22,32,84.5,31997
2020-07-06,34,91.1,22610
2020-07-20,32,91.1,22610
2020-08-03,34,92.9,25734
2020-08-17,29,92.9,25734
2020-09-07,30,94.1,28867
2020-09-21,27,94.1,28867
2020-10-05,27,94.8,18788
2020-10-18,27,94.8,18788
2020-11-02,26,93.1,22249
2020-11-15,28,93.1,22249
2020-12-07,27,94.2,24413
2020-12-28,31,94.2,24413
2021-01-04,32,91.6,2531
2021-01-25,30,91.6,2531
2021-02-01,32,92.3,15995
2021-02-22,35,92.3,15995
2021-03-01,36,94.9,27203
2021-03-22,37,94.9,27203
2021-04-05,36,97.3,24237
2021-04-19,37,97.3,24237
2021-05-03,38,97.9,18995
2021-05-24,38,97.9,18995
2021-06-07,37,98.8,19304
2021-06-21,33,98.8,19304
2021-07-05,32,98.7,6638
2021-07-19,31,98.7,6638
2021-08-02,31,98.9,16586
2021-08-23,27,98.9,16586
2021-09-06,27,99.5,20455
2021-09-26,26,99.5,20455
2021-10-04,25,99.7,12391
2021-10-25,25,99.7,12391
2021-11-01,26,100.6,17384
2021-11-29,25,100.6,17384
